Frequency (Hz)	Level (dB)
5943.164062	-58.721584
5948.547363	-65.143723
5953.930664	-68.837769
5959.313965	-65.670296
5964.697266	-67.912079
5970.080566	-63.709991
5975.463867	-58.503510
5980.847168	-61.806641
5986.230469	-76.881653
5991.613770	-80.072289
5996.997070	-64.188095
6002.380371	-59.604870
6007.763672	-57.222256
6013.146973	-59.618851
6018.530273	-71.587166
6023.913574	-61.720131
6029.296875	-66.518684
6034.680176	-70.874725
6040.063477	-70.147934
6045.446777	-66.370079
6050.830078	-75.679642
6056.213379	-67.823921
6061.596680	-68.323608
6066.979980	-65.893898
6072.363281	-68.457741
6077.746582	-79.081337
6083.129883	-77.640839
6088.513184	-73.683098
6093.896484	-69.931496
6099.279785	-66.157379
6104.663086	-71.264114
6110.046387	-74.674767
6115.429688	-72.643166
6120.812988	-69.771072
6126.196289	-66.016258
6131.579590	-59.064434
6136.962891	-58.257038
6142.346191	-60.734135
6147.729492	-63.913166
6153.112793	-70.246567
6158.496094	-60.895985
6163.879395	-66.407753
6169.262695	-60.084808
6174.645996	-63.130707
6180.029297	-60.525341
6185.412598	-68.293510
6190.795898	-70.938866
6196.179199	-63.324924
6201.562500	-66.252640
6206.945801	-62.531609
6212.329102	-61.573071
6217.712402	-60.392094
6223.095703	-59.752785
6228.479004	-75.930229
6233.862305	-67.451591
6239.245605	-67.581535
6244.628906	-71.034737
6250.012207	-66.392212
6255.395508	-63.206879
6260.778809	-63.665649
6266.162109	-62.372437
6271.545410	-63.906933
6276.928711	-82.475288
6282.312012	-70.390007
6287.695312	-69.622551
6293.078613	-73.669746
6298.461914	-69.706184
6303.845215	-72.325142
6309.228516	-79.375847
6314.611816	-70.772804
6319.995117	-74.931999
