Frequency (Hz)	Level (dB)
8031.884766	-52.932003
8042.651367	-49.248119
8053.417969	-49.562103
8064.184570	-50.858330
8074.951172	-48.089096
8085.717773	-49.700008
8096.484375	-50.817928
8107.250977	-52.828556
8118.017578	-45.001259
8128.784180	-39.739822
8139.550781	-39.879421
8150.317383	-46.317120
8161.083984	-47.890671
8171.850586	-49.221504
8182.617188	-44.570801
8193.383789	-41.283878
8204.150391	-41.065247
8214.916992	-40.171940
8225.683594	-39.721306
8236.450195	-41.172009
8247.216797	-47.832359
8257.983398	-51.161045
8268.750000	-40.610355
8279.516602	-36.293026
8290.283203	-38.455772
8301.049805	-42.507183
8311.816406	-49.355103
8322.583008	-45.398865
8333.349609	-43.943123
8344.116211	-45.461498
8354.882812	-42.731915
8365.649414	-43.609375
8376.416016	-44.043449
8387.182617	-43.965332
8397.949219	-51.580853
8408.715820	-53.298164
8419.482422	-47.440159
8430.249023	-43.355335
8441.015625	-43.335045
8451.782227	-49.509830
8462.548828	-48.387421
8473.315430	-41.667480
8484.082031	-45.522320
8494.848633	-57.708099
8505.615234	-63.350822
8516.381836	-45.665085
8527.148438	-44.832176
8537.915039	-48.019825
8548.681641	-59.501606
8559.448242	-47.935551
8570.214844	-46.449039
8580.981445	-46.833672
8591.748047	-43.139229
8602.514648	-39.827789
8613.281250	-35.592434
8624.047852	-32.798870
8634.814453	-33.790157
8645.581055	-37.634243
8656.347656	-42.309189
8667.114258	-46.059341
8677.880859	-48.318085
8688.647461	-47.843403
8699.414062	-48.345806
8710.180664	-42.571396
8720.947266	-42.845970
8731.713867	-45.807644
8742.480469	-50.972454
8753.247070	-58.479702
8764.013672	-56.057617
8774.780273	-51.078644
8785.546875	-48.437447
8796.313477	-40.623348
8807.080078	-37.076416
8817.846680	-38.332691
8828.613281	-42.470322
8839.379883	-44.232948
8850.146484	-50.394341
8860.913086	-49.494900
8871.679688	-42.762524
8882.446289	-43.263130
8893.212891	-47.939857
8903.979492	-42.938332
8914.746094	-43.301468
8925.512695	-46.158543
8936.279297	-47.630890
8947.045898	-50.140224
8957.812500	-46.800957
8968.579102	-51.263409
8979.345703	-40.364845
8990.112305	-37.962109
9000.878906	-40.448162
9011.645508	-43.740135
9022.412109	-45.693100
9033.178711	-46.596939
9043.945312	-42.669437
9054.711914	-39.667213
9065.478516	-40.622913
9076.245117	-43.405643
9087.011719	-52.499397
9097.778320	-52.325275
9108.544922	-56.198364
9119.311523	-58.571152
9130.078125	-52.758980
9140.844727	-56.107113
9151.611328	-60.892166
9162.377930	-64.803513
9173.144531	-57.797295
9183.911133	-55.384136
9194.677734	-51.932755
9205.444336	-49.198917
9216.210938	-48.997803
9226.977539	-47.792591
9237.744141	-52.244884
9248.510742	-55.570938
9259.277344	-47.527065
9270.043945	-47.192596
9280.810547	-46.695732
9291.577148	-47.163975
9302.343750	-56.160427
9313.110352	-56.025196
9323.876953	-59.038101
9334.643555	-56.528046
9345.410156	-51.461811
9356.176758	-61.561916
9366.943359	-59.422901
9377.709961	-60.812012
9388.476562	-50.778557
9399.243164	-48.893990
9410.009766	-57.396091
9420.776367	-71.432648
